ts,open,high,low,close,vol,dt
1777626900000,2284.08,2284.08,2281.06,2283.17,103854.33,2026-05-01 09:15:00
1777627800000,2283.17,2283.17,2281.07,2282.39,76781.37,2026-05-01 09:30:00
1777628700000,2282.4,2282.4,2278.28,2280.59,137196.45,2026-05-01 09:45:00
1777629600000,2280.59,2280.7,2275.65,2277.52,215903.15,2026-05-01 10:00:00
1777630500000,2277.53,2284.8,2277.52,2282.25,206674.2,2026-05-01 10:15:00
1777631400000,2282.25,2283.23,2278.42,2279.42,86469.43,2026-05-01 10:30:00
1777632300000,2279.43,2281.54,2279.19,2281.34,68490.11,2026-05-01 10:45:00
1777633200000,2281.34,2282.98,2280.51,2282.93,91606.02,2026-05-01 11:00:00
1777634100000,2282.94,2292.19,2281.93,2283.54,481866.66,2026-05-01 11:15:00
1777635000000,2283.54,2286.0,2283.12,2285.99,115436.79,2026-05-01 11:30:00
1777635900000,2286.0,2286.68,2281.79,2285.16,177154.12,2026-05-01 11:45:00
1777636800000,2285.16,2293.0,2282.52,2287.61,334211.49,2026-05-01 12:00:00
1777637700000,2287.6,2305.0,2287.29,2303.63,1851633.43,2026-05-01 12:15:00
1777638600000,2303.64,2312.27,2302.2,2303.24,1435806.47,2026-05-01 12:30:00
1777639500000,2303.25,2305.3,2299.05,2300.02,454319.9,2026-05-01 12:45:00
1777640400000,2300.01,2314.53,2300.01,2310.8,744102.0,2026-05-01 13:00:00
1777641300000,2310.79,2312.5,2305.88,2306.22,346068.29,2026-05-01 13:15:00
1777642200000,2306.21,2316.96,2304.46,2307.77,698282.84,2026-05-01 13:30:00
1777643100000,2307.77,2324.2,2304.7,2316.99,1440568.58,2026-05-01 13:45:00
1777644000000,2316.98,2325.0,2315.0,2317.82,794274.17,2026-05-01 14:00:00
1777644900000,2317.81,2319.72,2306.5,2308.1,730447.84,2026-05-01 14:15:00
1777645800000,2308.09,2309.09,2300.2,2305.21,825917.88,2026-05-01 14:30:00
1777646700000,2305.2,2310.99,2303.6,2306.77,318880.95,2026-05-01 14:45:00
1777647600000,2306.77,2309.48,2300.89,2308.72,389942.96,2026-05-01 15:00:00
1777648500000,2308.73,2311.32,2305.89,2308.0,219832.4,2026-05-01 15:15:00
1777649400000,2307.99,2316.0,2307.72,2312.76,333510.97,2026-05-01 15:30:00
1777650300000,2312.76,2313.36,2296.63,2306.88,823111.88,2026-05-01 15:45:00
1777651200000,2306.87,2313.34,2304.0,2304.06,428202.73,2026-05-01 16:00:00
1777652100000,2304.06,2307.99,2298.0,2302.38,526585.46,2026-05-01 16:15:00
1777653000000,2302.38,2304.72,2298.25,2300.55,213559.45,2026-05-01 16:30:00
1777653900000,2300.54,2305.14,2297.27,2300.79,312680.56,2026-05-01 16:45:00
1777654800000,2300.78,2306.99,2297.69,2306.1,270841.69,2026-05-01 17:00:00
1777655700000,2306.1,2306.94,2301.0,2302.6,131732.46,2026-05-01 17:15:00
1777656600000,2302.59,2309.8,2301.05,2306.7,238221.09,2026-05-01 17:30:00
1777657500000,2306.71,2312.93,2305.01,2310.86,502494.92,2026-05-01 17:45:00
1777658400000,2310.87,2311.67,2306.73,2307.89,361632.63,2026-05-01 18:00:00
1777659300000,2307.88,2310.5,2305.63,2309.53,159764.37,2026-05-01 18:15:00
1777660200000,2309.53,2309.54,2303.81,2304.59,278342.09,2026-05-01 18:30:00
1777661100000,2304.59,2306.8,2302.6,2303.6,137571.08,2026-05-01 18:45:00
1777662000000,2303.61,2307.0,2302.66,2305.4,114326.24,2026-05-01 19:00:00
1777662900000,2305.41,2307.14,2301.4,2305.4,186307.53,2026-05-01 19:15:00
1777663800000,2305.41,2305.45,2303.4,2303.79,70783.35,2026-05-01 19:30:00
1777664700000,2303.79,2306.0,2303.0,2304.01,107719.72,2026-05-01 19:45:00
1777665600000,2304.01,2305.3,2302.2,2303.25,120827.95,2026-05-01 20:00:00
1777666500000,2303.26,2303.6,2295.58,2299.2,311390.58,2026-05-01 20:15:00
1777667400000,2299.21,2299.21,2290.46,2293.49,463148.41,2026-05-01 20:30:00
1777668300000,2293.5,2294.77,2277.41,2283.81,1217678.12,2026-05-01 20:45:00
1777669200000,2283.8,2288.69,2282.26,2285.02,304134.02,2026-05-01 21:00:00
1777670100000,2285.03,2290.75,2284.66,2288.78,125656.25,2026-05-01 21:15:00
1777671000000,2288.78,2294.29,2285.0,2288.23,237076.83,2026-05-01 21:30:00
1777671900000,2288.23,2291.52,2287.45,2291.35,81040.03,2026-05-01 21:45:00
1777672800000,2291.35,2295.45,2291.08,2294.58,143889.41,2026-05-01 22:00:00
1777673700000,2294.58,2298.35,2294.35,2295.54,150370.74,2026-05-01 22:15:00
1777674600000,2295.54,2296.35,2292.13,2293.66,83403.52,2026-05-01 22:30:00
1777675500000,2293.67,2293.78,2289.19,2292.06,97971.18,2026-05-01 22:45:00
1777676400000,2292.07,2292.3,2289.78,2291.04,115147.54,2026-05-01 23:00:00
1777677300000,2291.04,2292.22,2287.5,2287.97,80934.52,2026-05-01 23:15:00
1777678200000,2287.98,2292.62,2287.97,2291.01,72061.57,2026-05-01 23:30:00
1777679100000,2291.01,2295.21,2291.01,2294.37,83667.09,2026-05-01 23:45:00
1777680000000,2294.37,2295.36,2292.32,2292.57,95399.8,2026-05-02 00:00:00
1777680900000,2292.57,2296.93,2291.12,2294.31,97673.01,2026-05-02 00:15:00
1777681800000,2294.3,2296.99,2293.13,2296.71,67278.31,2026-05-02 00:30:00
1777682700000,2296.71,2298.38,2294.14,2296.43,92229.98,2026-05-02 00:45:00
1777683600000,2296.44,2298.93,2294.41,2297.29,129028.73,2026-05-02 01:00:00
1777684500000,2297.29,2297.29,2294.84,2296.43,63963.98,2026-05-02 01:15:00
1777685400000,2296.42,2299.78,2296.22,2297.92,118297.12,2026-05-02 01:30:00
1777686300000,2297.92,2298.28,2296.58,2297.63,35754.96,2026-05-02 01:45:00
1777687200000,2297.64,2298.34,2295.8,2295.81,81149.23,2026-05-02 02:00:00
1777688100000,2295.8,2297.13,2294.27,2294.78,73477.85,2026-05-02 02:15:00
1777689000000,2294.79,2299.74,2294.24,2297.85,86531.15,2026-05-02 02:30:00
1777689900000,2297.85,2307.88,2297.84,2302.37,450164.19,2026-05-02 02:45:00
1777690800000,2302.37,2304.19,2300.0,2300.62,158184.45,2026-05-02 03:00:00
1777691700000,2300.62,2306.43,2299.88,2304.08,154443.36,2026-05-02 03:15:00
1777692600000,2304.08,2307.44,2302.17,2302.48,126136.31,2026-05-02 03:30:00
1777693500000,2302.49,2304.88,2301.88,2303.25,66772.63,2026-05-02 03:45:00
1777694400000,2303.26,2304.08,2299.85,2301.46,127227.71,2026-05-02 04:00:00
1777695300000,2301.47,2302.47,2300.82,2301.71,67551.06,2026-05-02 04:15:00
1777696200000,2301.72,2303.0,2300.0,2300.31,61960.4,2026-05-02 04:30:00
1777697100000,2300.31,2300.89,2298.1,2300.27,119842.48,2026-05-02 04:45:00
1777698000000,2300.27,2300.64,2296.57,2297.83,132322.32,2026-05-02 05:00:00
1777698900000,2297.83,2299.0,2295.26,2298.64,118078.02,2026-05-02 05:15:00
1777699800000,2298.63,2300.29,2298.46,2299.01,70576.71,2026-05-02 05:30:00
1777700700000,2299.01,2300.0,2298.23,2298.29,60028.03,2026-05-02 05:45:00
1777701600000,2298.28,2302.0,2298.21,2298.42,94321.2,2026-05-02 06:00:00
1777702500000,2298.43,2299.73,2296.04,2296.39,76030.03,2026-05-02 06:15:00
1777703400000,2296.39,2300.88,2296.05,2300.76,78006.59,2026-05-02 06:30:00
1777704300000,2300.76,2305.38,2300.44,2304.06,163999.59,2026-05-02 06:45:00
1777705200000,2304.06,2305.12,2302.98,2303.35,85864.07,2026-05-02 07:00:00
1777706100000,2303.36,2304.65,2303.35,2303.79,53601.43,2026-05-02 07:15:00
1777707000000,2303.79,2303.9,2300.16,2301.07,98338.41,2026-05-02 07:30:00
1777707900000,2301.07,2301.68,2299.62,2299.91,65683.94,2026-05-02 07:45:00
1777708800000,2299.92,2300.53,2297.64,2300.3,106100.71,2026-05-02 08:00:00
1777709700000,2300.29,2302.17,2299.3,2301.51,50562.08,2026-05-02 08:15:00
1777710600000,2301.51,2303.33,2301.5,2302.74,62226.11,2026-05-02 08:30:00
1777711500000,2302.75,2303.52,2301.53,2302.03,52265.04,2026-05-02 08:45:00
1777712400000,2302.03,2303.76,2302.03,2303.54,56312.01,2026-05-02 09:00:00
1777713300000,2303.54,2305.0,2303.54,2304.0,78074.14,2026-05-02 09:15:00
1777714200000,2304.01,2306.74,2302.08,2304.47,114915.06,2026-05-02 09:30:00
1777715100000,2304.46,2304.95,2303.55,2304.0,38694.01,2026-05-02 09:45:00
1777716000000,2304.0,2304.01,2302.2,2303.61,82364.42,2026-05-02 10:00:00
1777716900000,2303.61,2304.8,2302.44,2303.43,54084.7,2026-05-02 10:15:00
1777717800000,2303.42,2303.43,2300.64,2302.3,81327.51,2026-05-02 10:30:00
1777718700000,2302.3,2303.1,2301.7,2302.11,35403.88,2026-05-02 10:45:00
1777719600000,2302.11,2302.12,2300.13,2300.5,58013.63,2026-05-02 11:00:00
1777720500000,2300.5,2304.0,2300.49,2303.4,56040.3,2026-05-02 11:15:00
1777721400000,2303.4,2303.68,2300.28,2301.43,77030.08,2026-05-02 11:30:00
1777722300000,2301.43,2301.63,2298.9,2301.14,98470.17,2026-05-02 11:45:00
1777723200000,2301.13,2301.85,2300.01,2301.21,53995.95,2026-05-02 12:00:00
1777724100000,2301.21,2304.54,2301.0,2304.13,85119.38,2026-05-02 12:15:00
1777725000000,2304.13,2304.5,2302.15,2303.43,58870.78,2026-05-02 12:30:00
1777725900000,2303.42,2303.61,2301.84,2302.45,43557.42,2026-05-02 12:45:00
1777726800000,2302.45,2311.99,2302.44,2309.47,426465.04,2026-05-02 13:00:00
1777727700000,2309.48,2309.48,2306.15,2306.47,135209.46,2026-05-02 13:15:00
1777728600000,2306.48,2308.26,2305.58,2307.78,87521.2,2026-05-02 13:30:00
1777729500000,2307.79,2308.0,2305.94,2307.0,53028.44,2026-05-02 13:45:00
1777730400000,2307.0,2307.58,2304.51,2304.8,88271.33,2026-05-02 14:00:00
1777731300000,2304.79,2307.26,2304.03,2305.42,96733.24,2026-05-02 14:15:00
1777732200000,2305.42,2307.07,2304.21,2304.88,57883.47,2026-05-02 14:30:00
1777733100000,2304.88,2307.25,2304.87,2305.25,53959.57,2026-05-02 14:45:00
1777734000000,2305.24,2308.2,2305.23,2306.73,75877.45,2026-05-02 15:00:00
1777734900000,2306.73,2306.73,2303.87,2305.34,64448.89,2026-05-02 15:15:00
1777735800000,2305.35,2306.8,2304.69,2306.16,64228.07,2026-05-02 15:30:00
1777736700000,2306.16,2308.6,2305.56,2307.64,69800.98,2026-05-02 15:45:00
1777737600000,2307.64,2311.49,2306.67,2310.01,162983.38,2026-05-02 16:00:00
1777738500000,2310.01,2312.88,2307.0,2307.81,193700.61,2026-05-02 16:15:00
1777739400000,2307.8,2308.4,2306.42,2306.7,78007.81,2026-05-02 16:30:00
1777740300000,2306.7,2309.85,2306.7,2307.99,56930.86,2026-05-02 16:45:00
1777741200000,2308.0,2309.15,2307.08,2307.58,92376.33,2026-05-02 17:00:00
1777742100000,2307.59,2308.0,2305.69,2305.87,78132.22,2026-05-02 17:15:00
1777743000000,2305.88,2307.38,2304.74,2305.6,49125.4,2026-05-02 17:30:00
1777743900000,2305.59,2305.6,2304.2,2304.95,65248.21,2026-05-02 17:45:00
1777744800000,2304.95,2305.16,2302.08,2305.14,92500.9,2026-05-02 18:00:00
1777745700000,2305.15,2309.0,2304.91,2308.0,84424.62,2026-05-02 18:15:00
1777746600000,2307.99,2310.6,2307.73,2308.24,88522.63,2026-05-02 18:30:00
1777747500000,2308.25,2309.87,2307.97,2308.68,60010.98,2026-05-02 18:45:00
1777748400000,2308.68,2311.34,2307.82,2310.56,61296.54,2026-05-02 19:00:00
1777749300000,2310.56,2311.07,2309.51,2309.84,46385.35,2026-05-02 19:15:00
1777750200000,2309.84,2311.77,2309.0,2310.68,39337.92,2026-05-02 19:30:00
1777751100000,2310.69,2311.1,2309.81,2310.34,25393.18,2026-05-02 19:45:00
1777752000000,2310.34,2310.34,2308.6,2308.8,27843.49,2026-05-02 20:00:00
1777752900000,2308.8,2309.85,2308.2,2309.27,37948.6,2026-05-02 20:15:00
1777753800000,2309.26,2310.82,2309.26,2309.58,58850.3,2026-05-02 20:30:00
